Source	Target	Id	Weight			Source	Target	Id	Weight
14	8	0				5	1	0	
18	16	1				31	1	1	
19	18	2				36	1	2	
27	16	0				39	1	3	
30	2	0				43	1	4	
30	21	0				61	1	5	
37	24	0				63	1	6	
39	1	0				90	1	7	
39	21	0				96	1	8	
42	18	0				101	1	9	
42	12	0				114	1	10	
44	26	0				116	1	11	
44	10	0				120	1	12	
45	26					132	1	13	
45	2					139	1	14	
46	27					140	1	15	
46	33					142	1	16	
47	16					145	1	17	
48	41					146	1	18	
51	37					151	1	19	
51	24					153	1	20	
52	18					154	1	21	
52	29					155	1	22	
52	12					165	1	23	
52	16					176	1	24	
54	18					187	1	25	
54	39					188	1	26	
56	26					190	1	27	
58	41					196	1	28	
58	25					197	1	29	
59	14					198	1	30	
59	10					205	1	31	
60	55					214	1	32	
60	49					223	1	33	
61	14					224	1	34	
61	1					234	1	35	
62	18					236	1	36	
63	1					243	1	37	
64	44					249	1	38	
64	31					252	1	39	
64	53					255	1	40	
64	42					257	1	41	
64	56					261	1	42	
64	27					266	1	43	
64	36					268	1	44	
64	21					270	1	45	
64	17					279	1	46	
65	64					284	1	47	
65	27					296	1	48	
69	57					298	1	49	
69	31					305	1	50	
69	56					309	1	51	
69	8					312	1	52	
69	5					315	1	53	
70	64					321	1	54	
71	36					330	1	55	
71	26					335	1	56	
74	13					336	1	57	
77	69					341	1	58	
77	44					344	1	59	
77	64					352	1	60	
78	7					353	1	61	
78	18					361	1	62	
78	47					365	1	63	
78	16					373	1	64	
78	64					375	1	65	
78	30					377	1	66	
78	54					381	1	67	
79	2					413	1	68	
79	12					415	1	69	
79	43					424	1	70	
79	36					431	1	71	
79	49					436	1	72	
81	63					455	1	73	
81	78					463	1	74	
81	7					475	1	75	
82	18					477	1	76	
82	21					479	1	77	
82	39					481	1	78	
82	14					483	1	79	
82	23					484	1	80	
82	62					487	1	81	
83	12					490	1	82	
83	21					498	1	83	
83	14					503	1	84	
83	18					511	1	85	
84	64					517	1	86	
85	27					520	1	87	
85	26					532	1	88	
85	21					535	1	89	
85	44					552	1	90	
85	42					563	1	91	
85	64					578	1	92	
86	22					589	1	93	
88	83					592	1	94	
89	83					605	1	95	
89	44					609	1	96	
90	71					615	1	97	
90	89					622	1	98	
90	64					623	1	99	
90	55					626	1	100	
90	41					631	1	101	
92	85					638	1	102	
93	54					641	1	103	
93	56					652	1	104	
93	78					654	1	105	
93	18					659	1	106	
93	82					664	1	107	
95	39					666	1	108	
95	27					668	1	109	
95	64					676	1	110	
95	85					682	1	111	
95	77					685	1	112	
95	90					692	1	113	
95	14					694	1	114	
96	69					699	1	115	
101	66					701	1	116	
101	26					709	1	117	
101	45					732	1	118	
101	1					735	1	119	
101	83					738	1	120	
101	77					754	1	121	
101	16					756	1	122	
101	78					769	1	123	
101	25					30	2	124	
102	25					45	2	125	
102	10					79	2	126	
103	18					85	2	127	
103	101					90	2	128	
103	61					114	2	129	
104	17					151	2	130	
105	90					161	2	131	
105	41					170	2	132	
106	13					188	2	133	
106	74					213	2	134	
107	30					226	2	135	
107	43					252	2	136	
107	90					253	2	137	
108	43					265	2	138	
108	67					278	2	139	
109	90					280	2	140	
112	27					283	2	141	
113	85					323	2	142	
113	33					332	2	143	
113	110					339	2	144	
113	16					355	2	145	
114	27					359	2	146	
114	1					366	2	147	
114	112					377	2	148	
114	21					383	2	149	
114	45					396	2	150	
114	2					406	2	151	
114	82					420	2	152	
116	69					432	2	153	
116	33					438	2	154	
116	41					442	2	155	
116	18					453	2	156	
116	1					457	2	157	
116	95					460	2	158	
116	51					484	2	159	
116	39					512	2	160	
116	47					519	2	161	
117	65					522	2	162	
117	18					534	2	163	
117	41					537	2	164	
117	47					538	2	165	
118	71					554	2	166	
119	62					560	2	167	
119	78					585	2	168	
121	80					596	2	169	
122	45					626	2	170	
122	21					632	2	171	
122	114					638	2	172	
122	82					670	2	173	
124	107					672	2	174	
124	21					689	2	175	
125	45					694	2	176	
125	78					735	2	177	
125	44					223	3	178	
126	44					371	3	179	
126	26					373	3	180	
126	10					416	3	181	
126	90					520	3	182	
127	64					550	3	183	
128	54					657	3	184	
128	7					130	4	185	
128	42					161	4	186	
129	115					162	4	187	
130	23					254	4	188	
130	4					303	4	189	
130	18					323	4	190	
130	83					365	4	191	
130	90					445	4	192	
130	78					555	4	193	
130	117					582	4	194	
130	82					606	4	195	
131	21					625	4	196	
131	117					649	4	197	
131	64					669	4	198	
131	85					709	4	199	
132	71					12	5	200	
132	79					16	5	201	
132	107					36	5	202	
132	49					56	5	203	
133	82					69	5	204	
133	64					81	5	205	
134	90					90	5	206	
135	82					96	5	207	
136	18					120	5	208	
136	42					127	5	209	
136	62					132	5	210	
136	83					140	5	211	
136	38					145	5	212	
137	69					153	5	213	
137	31					154	5	214	
139	77					158	5	215	
139	69					165	5	216	
139	1					180	5	217	
140	69					195	5	218	
140	79					198	5	219	
140	30					199	5	220	
141	90					205	5	221	
141	64					210	5	222	
141	38					232	5	223	
141	85					249	5	224	
141	95					257	5	225	
142	43					259	5	226	
142	101					263	5	227	
142	47					268	5	228	
142	69					273	5	229	
142	1					284	5	230	
142	139					298	5	231	
142	41					301	5	232	
142	64					330	5	233	
143	52					335	5	234	
144	142					341	5	235	
144	57					361	5	236	
144	31					375	5	237	
144	42					377	5	238	
144	69					381	5	239	
144	139					400	5	240	
144	64					413	5	241	
144	140					424	5	242	
145	36					453	5	243	
145	5					455	5	244	
145	96					463	5	245	
145	1					477	5	246	
145	120					478	5	247	
145	77					481	5	248	
145	64					483	5	249	
145	31					487	5	250	
145	101					489	5	251	
145	41					498	5	252	
145	66					511	5	253	
145	113					528	5	254	
145	142					532	5	255	
145	58					543	5	256	
145	85					544	5	257	
145	90					571	5	258	
145	116					576	5	259	
145	103					578	5	260	
145	47					592	5	261	
146	145					598	5	262	
146	71					602	5	263	
146	144					623	5	264	
146	137					630	5	265	
146	69					631	5	266	
147	35					641	5	267	
149	14					647	5	268	
149	130					652	5	269	
149	141					654	5	270	
149	88					659	5	271	
150	89					664	5	272	
150	14					676	5	273	
150	25					685	5	274	
151	91					687	5	275	
151	41					709	5	276	
151	138					738	5	277	
151	114					754	5	278	
151	105					767	5	279	
151	113					31	6	280	
151	131					42	6	281	
151	116					53	6	282	
151	58					70	6	283	
151	142					127	6	284	
151	33					133	6	285	
151	2					152	6	286	
151	97					175	6	287	
151	12					186	6	288	
151	90					200	6	289	
151	132					251	6	290	
151	1					257	6	291	
151	93					296	6	292	
151	95					314	6	293	
151	18					323	6	294	
151	46					334	6	295	
151	47					342	6	296	
151	145					352	6	297	
151	52					373	6	298	
151	117					377	6	299	
152	145					443	6	300	
152	116					444	6	301	
152	64					453	6	302	
152	26					463	6	303	
152	12					482	6	304	
152	151					500	6	305	
153	145					516	6	306	
153	142					550	6	307	
153	139					574	6	308	
153	69					671	6	309	
154	82					672	6	310	
154	107					691	6	311	
155	145					726	6	312	
155	27					754	6	313	
155	95					763	6	314	
155	69					78	7	315	
155	64					81	7	316	
156	64					128	7	317	
156	136					302	7	318	
157	59					14	8	319	
157	149					25	8	320	
157	8					59	8	321	
158	90					61	8	322	
158	151					69	8	323	
158	145					157	8	324	
158	113					168	8	325	
158	116					202	8	326	
158	48					203	8	327	
158	33					236	8	328	
158	88					257	8	329	
158	12					275	8	330	
158	46					301	8	331	
158	117					352	8	332	
158	41					371	8	333	
158	81					373	8	334	
158	39					424	8	335	
158	5					463	8	336	
158	85					487	8	337	
160	10					502	8	338	
160	83					532	8	339	
160	107					576	8	340	
160	154					592	8	341	
160	132					601	8	342	
160	60					630	8	343	
160	81					631	8	344	
160	43					666	8	345	
160	90					679	8	346	
160	149					682	8	347	
160	59					687	8	348	
161	153					700	8	349	
161	122					705	8	350	
161	46					715	8	351	
161	2					718	8	352	
161	151					746	8	353	
161	58					748	8	354	
161	4					767	8	355	
161	33					468	9	356	
161	67					625	9	357	
161	152					638	9	358	
161	114					44	10	359	
161	85					59	10	360	
161	64					102	10	361	
161	82					126	10	362	
161	117					160	10	363	
161	90					180	10	364	
161	45					197	10	365	
162	45					225	10	366	
162	21					228	10	367	
162	4					308	10	368	
162	135					322	10	369	
162	90					362	10	370	
162	82					373	10	371	
162	122					416	10	372	
164	54					482	10	373	
164	27					502	10	374	
164	161					512	10	375	
164	85					529	10	376	
165	145					534	10	377	
165	93					569	10	378	
165	142					616	10	379	
166	18					638	10	380	
166	130					646	10	381	
166	63					655	10	382	
166	20					664	10	383	
166	101					679	10	384	
166	152					687	10	385	
166	82					718	10	386	
167	151					731	10	387	
167	129					740	10	388	
167	97					746	10	389	
167	133					748	10	390	
167	127					767	10	391	
168	14					342	11	392	
168	64					664	11	393	
168	141					36	12	394	
168	136					42	12	395	
168	150					52	12	396	
170	45					72	12	397	
170	30					79	12	398	
170	64					81	12	399	
170	60					83	12	400	
170	132					90	12	401	
170	43					96	12	402	
170	39					118	12	403	
170	90					120	12	404	
170	154					132	12	405	
170	2					146	12	406	
170	79					151	12	407	
170	158					152	12	408	
170	112					154	12	409	
170	114					158	12	410	
170	162					165	12	411	
171	159					175	12	412	
171	148					176	12	413	
171	26					202	12	414	
171	101					217	12	415	
171	126					229	12	416	
171	88					240	12	417	
171	89					249	12	418	
